"HolderAddress","Balance","PendingBalanceUpdate"
"0x04d997e7d8004f4208e36771f3e3d662f2b812a9","1402834.96096794","No"
"0x84596aee8e3ddedfd60c663eef6d5e8b456683e9","1402070.8","No"
"0x26ab760f73d39c0b7b60b9303b5b897897a42dd6","1402069.9","No"
"0x7cf957174fda8fecb811c906fc612d2bbfd40b8e","1402069","No"
"0x711978880ede4befd881f134ac44ca8be2fd8363","1399891.07985055","No"
"0xe753d3f5dcaeba63843bcd3c5ff39c03ddb8b487","1392069","No"
"0x2132abf6955fefa6f056e86f9c0bee8a0e96efa7","1387201.82961874","No"
"0x99565d11921e01c7c01f3e662c8473695bbbc31c","1376724.87934258","No"
"0x3205f809b51b436d1c9fba62dc9a35bf4b406022","1376635.85313389","No"
"0x43fde06d7d77ae8fc8cc41003c4030adfe414267","1353151.27589371","No"
"0x93c6b46a1c34f99003f96ce0916d19a950729e4d","1227942.89135999","No"
"0x5bd819bbf63ffd7170eebe103738b580321fde95","1204561.09892227","No"
"0x274c2871985bc502d5366f8cb30963f344ad498f","1366598.87997464","No"
"0x26cd4e256b23269266d10e708cb7ad386d7e125d","1000000","No"
"0x9a6d314dcd66567c506b0c20f6697f36f5c3a459","1032349.39019739","No"
"0x1d44971999aacc9852491c15cfb0e65e31d479a7","1026044","No"
"0x7664dfb32c46680f2a9025f6fe6b1a55b619de09","1000010.84","No"
"0x3f0a616269048082b5ee5a3830fd5122dd2b1bd5","923958.845192059","No"
"0x572ad2e517cbc0e7ea60948dff099fafde9d8022","899999","No"
"0x7f23d313f6ece3f0bc7c21943895b32f07845ec9","860000","No"
"0x347d248a3465fe9fd6bb5fcdb471baf8859f01a5","853229.4","No"
"0x40c7c2ec20bafb1bc8db2303ef653c4d607fc8e3","841241.4","No"
"0x95b2f919b70cf9fb64254bd159d1341a61d9177e","806701.769176649","No"
"0x77a2ed62c489a5869c79ec8d3449ee53a24e63a3","909102.868169979","No"
"0xcfda314414c49d0fbf1ffc3acdcce56db5556e7e","2355689","No"
"0x48f2602701b1610649ef375ee6f192f55af12b28","746535.320235387","No"
